stock1,stock2,correlation,abs_correlation,p_value,ci_lower,ci_upper,bootstrap_ci_lower,bootstrap_ci_upper,monte_carlo_p_value,sample_size,lag_days,method,is_significant,strength,adjusted_p_value,is_significant_adjusted,time_horizon,lag_period,horizon_lag_combo
DHR,INCY,0.9603012646122232,0.9603012646122232,0.0,0.9572262071239384,0.9631594138159272,0.04877522908828618,0.9917921927349292,0.0,2651,48,pearson,True,Very Strong,0.0,True,365,48,365d_lag48
GILD,TAK,0.9526938835748435,0.9526938835748435,0.0,0.948784802183164,0.9563112870339459,0.9497958746047733,0.9940810602709836,0.0,2322,12,pearson,True,Very Strong,0.0,True,730,12,730d_lag12
ABT,RARE,0.9383438546554407,0.9383438546554407,0.0,0.9332962645750196,0.9430207419888079,0.9199313433725635,0.9943561194629533,0.0,2328,6,pearson,True,Very Strong,0.0,True,730,6,730d_lag6
ABT,ZBH,0.9332501849443179,0.9332501849443179,0.0,0.9277493035435693,0.9383456458421573,0.8832451404218075,0.9899119070996893,0.0,2286,48,pearson,True,Very Strong,0.0,True,730,48,730d_lag48
ZBH,MTD,-0.9195800291649632,0.9195800291649632,0.0,-0.9256256216371511,-0.9130652007829373,-0.9845666299602582,0.9832056619840527,0.001,2328,6,pearson,True,Very Strong,0.0,True,730,6,730d_lag6
CI,TMO,0.874963742379518,0.874963742379518,0.0,0.8663162036182885,0.8830869436139374,-0.004485322934427106,0.975247945100157,0.0,3009,48,pearson,True,Very Strong,0.0,True,7,48,7d_lag48
ILMN,IONS,0.8656201297754885,0.8656201297754885,0.0,0.8550499261767838,0.8754712660006796,0.8165262356648976,0.9942546073115681,0.0,2322,12,pearson,True,Very Strong,0.0,True,730,12,730d_lag12
BMY,IONS,0.8528197883718419,0.8528197883718419,0.0,0.8412349416751471,0.8636219187858349,0.10500171065214631,0.9884951624088878,0.0,2286,48,pearson,True,Very Strong,0.0,True,730,48,730d_lag48
WST,RARE,0.7878291450960514,0.7878291450960514,0.0,0.7737392506720459,0.8011399923769404,0.16208279822361513,0.9673886067825895,0.0,2950,24,pearson,True,Strong,0.0,True,90,24,90d_lag24
IQV,RARE,0.7722605009828512,0.7722605009828512,0.0,0.7574843766613031,0.7862458350989149,0.12799590523163637,0.9313471888790078,0.0,3031,3,pearson,True,Strong,0.0,True,30,3,30d_lag3
BAX,A,0.7442737955618959,0.7442737955618959,0.0,0.7277921395723616,0.7598961976893636,0.019532779919632398,0.9326045899871506,0.0,2971,3,pearson,True,Strong,,,90,3,90d_lag3
MRK,IONS,-0.7313831419652657,0.7313831419652657,0.0,-0.7475289043723676,-0.7143736068174352,-0.9170260015394374,0.08262906734845894,0.001,3028,6,pearson,True,Strong,0.0,True,30,6,30d_lag6
GILD,ZBH,-0.6980063863145056,0.6980063863145056,0.0,-0.7161294873821812,-0.6789427147016834,-0.9717407978849083,0.013168934977809662,0.001,2926,48,pearson,True,Strong,,,90,48,90d_lag48
GILD,CI,-0.697839992021135,0.697839992021135,0.0,-0.7158635809654093,-0.6788870741339458,-0.9500707276906815,0.22718712375381173,0.001,2962,12,pearson,True,Strong,0.0,True,90,12,90d_lag12
ISRG,BAX,0.6894971771156196,0.6894971771156196,0.0,0.6702784003693734,0.7077917100876101,0.0026181564443759947,0.8888714943500405,0.0,3009,48,pearson,True,Strong,0.0,True,7,48,7d_lag48
CVS,BMRN,-0.6845469644821734,0.6845469644821734,0.0,-0.7029480704854532,-0.6652300667471572,-0.8864990803712375,0.006128583702384303,0.0,3054,3,pearson,True,Strong,0.0,True,7,3,7d_lag3
ZTS,RARE,0.5612804065122623,0.5612804065122623,6.067496780146671e-220,0.534634678944284,0.5868112377757566,0.20189978329771238,0.8596557478916692,0.0,2651,48,pearson,True,Moderate,1.2134993560293342e-219,True,365,48,365d_lag48
ISRG,WST,-0.5574740082902545,0.5574740082902545,3.0489924665131747e-190,-0.5848538610014622,-0.5288252419550403,-0.9097019388946704,0.977620726655868,0.0,2328,6,pearson,True,Moderate,4.0653232886842327e-190,True,730,6,730d_lag6
