stock1,stock2,correlation,abs_correlation,p_value,ci_lower,ci_upper,bootstrap_ci_lower,bootstrap_ci_upper,monte_carlo_p_value,sample_size,lag_days,method,is_significant,strength,adjusted_p_value,is_significant_adjusted,time_horizon,lag_period,horizon_lag_combo
NVDA,ADBE,0.9951694849500988,0.9951694849500988,0.0,0.994843169174515,0.9954751988363971,0.9899864183271326,0.9991100251591156,0.0,3581,12,pearson,True,Very Strong,,,730,12,730d_lag12
MU,HPQ,0.950366269892944,0.950366269892944,0.0,0.9472558417709848,0.9532976691490279,0.038336325302344,0.9855690579799,0.0,3952,6,pearson,True,Very Strong,0.0,True,365,6,365d_lag6
NOW,PLTR,0.8798489056252967,0.8798489056252967,0.0,0.8722410582774814,0.8870310530937956,0.8055511283879583,0.9852363976048927,0.0,3590,3,pearson,True,Very Strong,0.0,True,730,3,730d_lag3
INTU,PLTR,0.875494779329643,0.875494779329643,0.0,0.8676068578601129,0.8829421981825919,0.008127950555427128,0.9987081598796784,0.0,3569,24,pearson,True,Very Strong,0.0,True,730,24,730d_lag24
MSFT,PSTG,0.8652427435073411,0.8652427435073411,0.0,0.8567805096454502,0.8732391141930456,0.8446110282521644,0.9839724485920904,0.0,3590,3,pearson,True,Very Strong,0.0,True,730,3,730d_lag3
INTU,MPWR,-0.8592272122099216,0.8592272122099216,0.0,-0.8672162220641192,-0.850795947594818,-0.9954171043979543,0.08569880135989234,0.0,3910,48,pearson,True,Very Strong,,,365,48,365d_lag48
TSLA,SEDG,-0.8062673617931227,0.8062673617931227,0.0,-0.8165738402652215,-0.7954469853303612,-0.9621821726550766,0.06243858706458218,0.001,4221,12,pearson,True,Very Strong,,,90,12,90d_lag12
WDAY,MPWR,0.6262569502071765,0.6262569502071765,0.0,0.6077712045524555,0.6440643401205891,-0.015340988586449868,0.8545387291154325,0.0,4313,3,pearson,True,Strong,0.0,True,7,3,7d_lag3
META,NET,0.6162054311391533,0.6162054311391533,0.0,0.595496062667404,0.636096368307651,0.18095512033918584,0.9290934526319019,0.0,3590,3,pearson,True,Strong,0.0,True,730,3,730d_lag3
AVGO,QRVO,-0.6144111947708422,0.6144111947708422,0.0,-0.633045791935871,-0.5950649462009276,-0.8875874372752751,0.5197186577908418,0.002,4131,12,pearson,True,Strong,0.0,True,180,12,180d_lag12
ZM,TEAM,0.5850920200229888,0.5850920200229888,0.0,0.5651146848542286,0.6043836241636309,-0.0003673061581779042,0.9198434506674151,0.0,4313,3,pearson,True,Moderate,0.0,True,7,3,7d_lag3
INTU,ZM,0.5795731985939099,0.5795731985939099,0.0,0.5593538434158031,0.5991032987923289,-0.003477434504301531,0.8970608403514251,0.0,4292,24,pearson,True,Moderate,0.0,True,7,24,7d_lag24
AMZN,KLAC,-0.5404381174647283,0.5404381174647283,1e-323,-0.5612860171523693,-0.51890479087184,-0.9312265903841117,0.07314968330124717,0.0,4290,3,pearson,True,Moderate,,,30,3,30d_lag3
QRVO,MPWR,0.5298807111137125,0.5298807111137125,6.921703893220578e-256,0.505783035382584,0.5531520833023594,0.16971408449238315,0.8333838050690029,0.0,3545,48,pearson,True,Moderate,,,730,48,730d_lag48
TXN,ON,0.5173323298459019,0.5173323298459019,6.912674892411318e-291,0.4950130177529085,0.5389693824266613,-0.11632528828380609,0.7773704933119135,0.0,4268,48,pearson,True,Moderate,1.3825349784822636e-290,True,7,48,7d_lag48
INTU,MU,0.4873008748316271,0.4873008748316271,1.7190728354135725e-234,0.4631401843607236,0.5107378355762999,0.005023035877706844,0.9826770537511882,0.001,3946,12,pearson,True,Moderate,,,365,12,365d_lag12
QCOM,MCHP,0.4740378423215833,0.4740378423215833,1.6385180258554418e-230,0.45004781201085586,0.497344143586789,0.005425358032960349,0.7876534351435195,0.0,4131,12,pearson,True,Moderate,1.6385180258554418e-230,True,180,12,180d_lag12
TEAM,INTC,0.47022909189938245,0.47022909189938245,7.8582616186227985e-196,0.4442737250218117,0.4953957457394698,0.03132512218579623,0.8303740471802058,0.0,3569,24,pearson,True,Moderate,7.8582616186227985e-196,True,730,24,730d_lag24
ORCL,PSTG,0.4599240693913261,0.4599240693913261,3.900090643103192e-206,0.43498261910622105,0.48416031041308544,0.17582324360963508,0.8640850176298913,0.0,3952,6,pearson,True,Moderate,3.900090643103192e-206,True,365,6,365d_lag6
PLTR,ZS,-0.4326611604798875,0.4326611604798875,1.7605211179784864e-186,-0.45723159280950015,-0.4074307508428626,-0.8663092000287727,0.7689051052527216,0.002,4095,48,pearson,True,Moderate,,,180,48,180d_lag48
